"ALL ",000005534,"BRANCH", 0000000000000.00,"                              ","BRANDWAG                              ",000000,000.00
"0943",020241213,"PAY   ",-0000000024992.64,"ELECTRONIC BANKING PAYMENT TO ","SS620 SS6204 SANGO  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000025354.97,"ELECTRONIC BANKING PAYMENT TO ","SC612 SC6125 CUMAX  ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000026235.06,"ELECTRONIC BANKING PAYMENT TO ","SM623 SM6232 MB CIV ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000026581.95,"ELECTRONIC BANKING PAYMENT TO ","SA621 SA6219 ATHIS  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000027324.00,"ELECTRONIC BANKING PAYMENT TO ","CH712 CH7121 HLASE  NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000027777.74,"ELECTRONIC BANKING PAYMENT TO ","SS627 SS6278 SANNS  NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000027896.96,"ELECTRONIC BANKING PAYMENT TO ","SC619 SC6193 CAMOES ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000028025.21,"ELECTRONIC BANKING PAYMENT TO ","SR613 SR6132 RATISI NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000028100.66,"ELECTRONIC BANKING PAYMENT TO ","SL604 SL6049 LEKHOO NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000028527.19,"ELECTRONIC BANKING PAYMENT TO ","SK608 SK6083 KHEWAN NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000028757.70,"ELECTRONIC BANKING PAYMENT TO ","E062  E062 FABERTEC NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000028933.84,"ELECTRONIC BANKING PAYMENT TO ","SG608 SG6088 GLOBAL NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000029389.77,"ELECTRONIC BANKING PAYMENT TO ","E062  E062 FABERTEC NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000030515.93,"ELECTRONIC BANKING PAYMENT TO ","SK608 SK6087 KHANAN NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000031019.60,"ELECTRONIC BANKING PAYMENT TO ","SM625 SM6254 MACWIL ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000031424.85,"ELECTRONIC BANKING PAYMENT TO ","SC612 SC6125 CUMAX  NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000031740.89,"ELECTRONIC BANKING PAYMENT TO ","SM625 SM6254 MACWIL NHU2312:35        ",000509,000.00
"0943",020241213,"PAY   ",-0000000032427.67,"ELECTRONIC BANKING PAYMENT TO ","ST601 ST6015 TJ S J ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000032580.00,"ELECTRONIC BANKING PAYMENT TO ","SI607 SI6071 INCRED ZCX8314:23        ",000509,000.00
"0943",020241213,"PAY   ",-0000000033964.20,"ELECTRONIC BANKING PAYMENT TO ","SP608 SP6080 PERANA ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000034593.98,"ELECTRONIC BANKING PAYMENT TO ","SO604 SO6042 ONE MA ZCX8314:21        ",000509,000.00
"0943",020241213,"PAY   ",-0000000034706.30,"ELECTRONIC BANKING PAYMENT TO ","CD514 CD5149 DE WER NHU2312:36        ",000509,000.00
"0943",020241213,"PAY   ",-0000000034731.82,"ELECTRONIC BANKING PAYMENT TO ","SD617 SD6176 DUBE & ZCX8314:21        ",000509,000.00
